variable.alias,variable.true,SN,s,SERV2,s,,
kW.Work_Stations3..kW.,Work_Station_Receptacles,kW,Work_Stations3,,kW,,
kW.Workstations_PM_CW..kW.,Work_Station_Receptacles,kW,Workstations_PM_CW,,kW,,
kW.workstnrecep..kW.,Work_Station_Receptacles,kW,workstnrecep,,kW,,
kW.SERV..kW.,Service,kW,SERV,,kW,,
kW.SERV1..kW.,Service,kW,SERV1,,kW,,
kW.SERV2..kW.,Service,kW,SERV2,,kW,,
kW.ServerRack..kW.,Server_Rack,kW,ServerRack,,kW,,
kW.Phone_Alarm_Recepts..kW.,Phone_Alarm,kW,Phone_Alarm_Recepts,,kW,,
kW.phonealarm..kW.,Phone_Alarm,kW,phonealarm,,kW,,
highalarm,NULL,highalarm,,,,,
kVA.Aphaselights..kVA.,NULL,kVA,Aphaselights,,kVA,,
kVA.Bphaselights..kVA.,NULL,kVA,Bphaselights,,kVA,,
kVA.HP..kVA.,NULL,kVA,HP,,kVA,,
kVA.HP1..kVA.,NULL,kVA,HP1,,kVA,,
kVA.HP2..kVA.,NULL,kVA,HP2,,kVA,,
kVA.Phone_Alarm_Recepts..kVA.,NULL,kVA,Phone_Alarm_Recepts,,kVA,,
kVA.phonealarm..kVA.,NULL,kVA,phonealarm,,kVA,,
kVA.SERV..kVA.,NULL,kVA,SERV,,kVA,,
kVA.SERV1..kVA.,NULL,kVA,SERV1,,kVA,,
kVA.SERV2..kVA.,NULL,kVA,SERV2,,kVA,,
kVA.ServerRack..kVA.,NULL,kVA,ServerRack,,kVA,,
kVA.Workstations_PM_CW..kVA.,NULL,kVA,Workstations_PM_CW,,kVA,,
kVA.workstnrecep..kVA.,NULL,kVA,workstnrecep,,kVA,,
kVAR.HP1..kVAR.,NULL,kVAR,HP1,,kVAR,,
kVAR.HP2..kVAR.,NULL,kVAR,HP2,,kVAR,,
kVAR.L1..kVAR.,NULL,kVAR,L1,,kVAR,,
kVAR.L2..kVAR.,NULL,kVAR,L2,,kVAR,,
kVAR.L3..kVAR.,NULL,kVAR,L3,,kVAR,,
kVAR.Work_Stations3..kVAR.,NULL,kVAR,Work_Stations3,,kVAR,,
kVAWork_Stations3..kVA.,NULL,kVAWork_Stations3,,kVA,,,
kWh..Aphaselights.LSW..kWh.,NULL,kWh,,Aphaselights,LSW,,kWh
kWh..SERV2.LSW..kWh.,NULL,kWh,,SERV2,LSW,,kWh
kWh.Aphaselights.MSW..kWh.,NULL,kWh,Aphaselights,MSW,,kWh,
kWh.Bphaselights.1.LSW..kWh.,NULL,kWh,Bphaselights,1,LSW,,kWh
kWh.Bphaselights.1.MSW..kWh.,NULL,kWh,Bphaselights,1,MSW,,kWh
kWh.HP.LSW..kWh.,NULL,kWh,HP,LSW,,kWh,
kWh.HP.MSW..kWh.,NULL,kWh,HP,MSW,,kWh,
kWh.HP1.LSW..kWh.,NULL,kWh,HP1,LSW,,kWh,
kWh.HP1.MSW..kWh.,NULL,kWh,HP1,MSW,,kWh,
kWh.HP2.LSW..kWh.,NULL,kWh,HP2,LSW,,kWh,
kWh.HP2.MSW..kWh.,NULL,kWh,HP2,MSW,,kWh,
kWh.Phone_Alarm_Recepts.LSW..kWh.,NULL,kWh,Phone_Alarm_Recepts,LSW,,kWh,
kWh.Phone_Alarm_Recepts.MSW..kWh.,NULL,kWh,Phone_Alarm_Recepts,MSW,,kWh,
kWh.phonealarm.LSW..kWh.,NULL,kWh,phonealarm,LSW,,kWh,
kWh.phonealarm.MSW..kWh.,NULL,kWh,phonealarm,MSW,,kWh,
kWh.SERV.LSW..kWh.,NULL,kWh,SERV,LSW,,kWh,
kWh.SERV.MSW..kWh.,NULL,kWh,SERV,MSW,,kWh,
kWh.SERV1.LSW..kWh.,NULL,kWh,SERV1,LSW,,kWh,
kWh.SERV1.MSW..kWh.,NULL,kWh,SERV1,MSW,,kWh,
kWh.SERV2.MSW..kWh.,NULL,kWh,SERV2,MSW,,kWh,
kWh.ServerRack.LSW..kWh.,NULL,kWh,ServerRack,LSW,,kWh,
kWh.ServerRack.MSW..kWh.,NULL,kWh,ServerRack,MSW,,kWh,
kWh.Work_Stations3.LSW..kWh.,NULL,kWh,Work_Stations3,LSW,,kWh,
kWh.Workstations_PM_CW.LSW..kWh.,NULL,kWh,Workstations_PM_CW,LSW,,kWh,
kWh.Workstations_PM_CW.MSW..kWh.,NULL,kWh,Workstations_PM_CW,MSW,,kWh,
kWh.workstnrecep.LSW..kWh.,NULL,kWh,workstnrecep,LSW,,kWh,
kWh.workstnrecep.MSW..kWh.,NULL,kWh,workstnrecep,MSW,,kWh,
PF.L1,NULL,PF,L1,,,,
PF.L2,NULL,PF,L2,,,,
PF.L3,NULL,PF,L3,,,,
SN.1st.2.bytes,NULL,SN,1st,2,bytes,,
SN.2nd.2.bytes,NULL,SN,2nd,2,bytes,,
SN.3rd.2.bytes,NULL,SN,3rd,2,bytes,,
SN.4th.2.bytes,NULL,SN,4th,2,bytes,,
SN.5th.2.bytes,NULL,SN,5th,2,bytes,,
Temperature..Degrees.F.,NULL,Temperature,,Degrees,F,,
Temperature.Max..Degrees.F.,NULL,Temperature,Max,,Degrees,F,
Temperature.Min..Degrees.F.,NULL,Temperature,Min,,Degrees,F,
VerisCheapRH..RH.,NULL,VerisCheapRH,,RH,,,
VerisCheapRH.Ave..RH.,NULL,VerisCheapRH,Ave,,RH,,
VerisCheapRH.Max..RH.,NULL,VerisCheapRH,Max,,RH,,
VerisCheapRH.Min..RH.,NULL,VerisCheapRH,Min,,RH,,
VerisCheapTherm..Degrees.F.,NULL,VerisCheapTherm,,Degrees,F,,
